Transaction ID,Date,Weekday,Month,Category,Amount,Transaction Type,Payment Method,Merchant,User ID
46685257-bdd6-40fb-8667-1ad11c80317f,2024-09-05,3,9,Rent,912.54,Expense,Debit Card,Walker Ltd,e465e150-bd9c-46b3-ad3c-2d6d1a3d1fa7
0822e8f3-6c03-4199-972a-846916419f82,2024-07-30,1,7,Rent,1838.27,Expense,Bank Transfer,Davis and Sons,8fadc1a6-06cb-4fb3-9a1d-e644815ef6d1
8b8148f6-b38a-488c-a65e-d389b74d0fb1,2024-03-18,0,3,Groceries,59.35,Expense,Debit Card,Robinson-Lawrence,c241330b-01a9-471f-9e8a-774bcf36d58b
571aa876-6c30-4511-b2b9-437a28df6ec4,2024-11-08,4,11,Health,224.34,Income,Credit Card,Moore-Bernard,6142ea7d-17be-4111-9a2a-73ed562b0f79
9a8dca03-580d-4b71-98f5-64135be6128e,2024-02-07,2,2,Utilities,203.11,Expense,Debit Card,Roman-Blair,ec1b8ca1-f91e-4d4c-9ff4-9b7889463e85
d453dd32-4b0d-4b41-8d52-88f1142c3fe8,2024-05-27,0,5,Transport,106.7,Income,Credit Card,"Montgomery, Hensley and Ray",a9488d99-0bbb-4599-91ce-5dd2b45ed1f0
146d3f31-fc37-4a4c-8a15-544dc5e7ce8a,2024-03-29,4,3,Transport,848.26,Income,Credit Card,Delacruz Group,d58842de-a2bc-472f-b412-b29347294739
35a240ae-5af3-4553-9ec4-2e0829a3b2e9,2024-05-21,1,5,Shopping,538.55,Income,Credit Card,"Adams, Zuniga and Wong",88bd6407-2bcf-4e01-a28d-efe39bf00273
6123fdf7-7656-4f72-a9d4-beef3eabedcb,2024-10-10,3,10,Dining,830.26,Income,Debit Card,Mayo-Bowman,5304317f-af42-412f-b838-b3268e944239
d261a7ab-3aa2-44f9-8e51-f30dc6a7ee39,2024-10-25,4,10,Rent,841.85,Income,Credit Card,Trujillo Group,e9c349e0-3602-48ac-90f1-bc81448aaa9e
366eb16f-508e-4ad7-b7c9-3acfe059a0ee,2024-08-08,3,8,Entertainment,867.15,Income,Cash,"Porter, Wilkerson and Day",3f22faf8-23be-401d-83cf-2fde24933b83
bf3c4c06-4343-48bc-89fa-6a688fb5d27b,2024-10-16,2,10,Shopping,637.51,Income,Debit Card,"Patterson, Silva and Cox",827050a8-2369-4584-bf5e-9ff0ff50bde4
dc713d96-0c0f-4195-817a-f08a1745d6d8,2024-07-10,2,7,Transport,358.49,Income,Credit Card,Hernandez and Sons,98ae4334-6c12-4ce8-ae34-0454cac5b68c
ff01cf99-988c-44c9-a1b1-cd2262801c45,2024-01-25,3,1,Utilities,160.16,Income,Bank Transfer,Rice-Maddox,ae270da7-02f0-4b90-b143-262fdc5c0eed
8976e334-e281-4efd-ae84-92171d53434b,2024-10-06,6,10,Dining,989.58,Expense,Cash,Mack-Peterson,74273ca3-287d-46ca-af4c-c69a4b22d308
b83cfe0b-e037-45ed-b8db-0672f42d47cc,2024-01-02,1,1,Groceries,25.78,Income,Bank Transfer,Stanton-Gill,deda4e16-1b3d-4d5c-a9a1-fa6f81f76d1c
81f631d4-a392-41a7-9777-a4774c66e0a8,2024-08-30,4,8,Dining,70.86,Income,Debit Card,"Gonzalez, Brooks and Martin",87c5421e-ec24-43c5-8754-108ff4188f3f
04fc6d82-7d15-4385-92fb-e43b99546eb4,2024-01-01,0,1,Shopping,398.65,Income,Debit Card,Hickman LLC,e0c53cb8-3da9-42a9-8ed4-2f1a3d4cbf37
bb5e4bcf-15ed-4269-9429-6c07f26b4776,2024-08-08,3,8,Dining,143.93,Income,Bank Transfer,Cabrera-Spence,20de435d-2031-4750-840d-b9b4885f6e66
2a45c2ab-8cbf-4db0-b264-accc79ac1b1e,2024-09-13,4,9,Health,365.19,Expense,Bank Transfer,Rose-Obrien,8a0f4efb-edcd-465e-b638-6821f6e07cc0
b683d2e6-337e-42df-b09b-2a5cbadcc32a,2024-10-20,6,10,Rent,1791.65,Expense,Debit Card,Ross-Powers,847fd9b4-e64d-4bcb-b027-53a15f987c71
1064005c-3985-43cf-bf76-be1d1efa2197,2024-06-24,0,6,Health,598.43,Income,Bank Transfer,Smith-Spencer,122c9a56-01d7-4256-b860-2ab696a402f2
114125c6-3a9b-4dd4-8f12-59e0a18ff6b6,2024-10-01,1,10,Shopping,531.47,Expense,Credit Card,Heath Inc,ab4220a7-474a-493b-bced-df2d839fbc50
b92da22b-21df-406f-8a0b-3c3336d8393a,2024-07-07,6,7,Dining,769.76,Income,Credit Card,"Johnston, Sanchez and Kennedy",18d0752b-1825-4c54-b0be-b45f683514f2
693dffbc-6c6f-4611-9ab3-3edf6e595ed3,2024-09-12,3,9,Dining,437.59,Income,Credit Card,Shields-Brown,1931e9ee-a56c-4941-bbf2-4050a748dbcf
ccf3a171-56dc-4907-ba6c-34ab6712303a,2024-01-24,2,1,Dining,972.03,Expense,Credit Card,Wright and Sons,6c006f61-23e2-4cb4-b2d8-567d894a05e4
dfde4fbf-3ff3-40bf-b66e-cb15474ebc19,2024-03-12,1,3,Dining,842.46,Expense,Debit Card,Ramos PLC,ffd0f9d5-a6f2-47b8-8cf3-5b5819108be5
17e011b7-f810-4383-83c7-2ba8d605e770,2024-07-28,6,7,Transport,763.7,Expense,Cash,Martin Group,66aa9385-dd59-4a71-b6b8-24817b3a4e3e
fc3d3348-008d-4127-a104-61e32a25a888,2024-01-23,1,1,Shopping,24.38,Income,Cash,Baker-Bowers,b253d218-6c4a-47ea-8906-17f2747b6dba
a97065e1-8e46-4534-888a-618efed4057d,2024-10-10,3,10,Entertainment,62.64,Expense,Credit Card,"Tucker, Lee and Robinson",8acd4e10-bc59-4585-9445-28c00ef8c2d6
0cd620c2-0ea2-422b-9048-67babf7b539b,2024-01-24,2,1,Shopping,816.94,Expense,Debit Card,"Woods, Calhoun and Schmidt",14822f53-8201-4c62-b5f5-9b220e8fa8e0
acdabacc-1165-4210-9854-3881118a9d29,2024-03-13,2,3,Shopping,947.11,Expense,Cash,Powell PLC,0a2c827e-9832-4856-9434-0a033f07f814
956b8c0c-a849-4b92-ab52-52e314fcdd54,2024-08-28,2,8,Health,964.54,Expense,Cash,"Mills, Donovan and Harris",43ff5011-3d1a-45dd-906e-5a9ab758588d
4ccc9bc2-a53f-4a28-abf3-e3fc21813d25,2024-06-02,6,6,Health,995.17,Income,Bank Transfer,Stewart-Walton,9f044aed-7552-4327-8262-7f7312922f83
89a2688b-12c1-46e0-9998-5f15ff002d4d,2024-08-06,1,8,Shopping,125.4,Expense,Credit Card,Wagner and Sons,119c4ea3-e180-4081-9958-a499eeea163e
702cdd20-2862-48b8-88f4-ef125e9953d2,2024-04-04,3,4,Transport,25.93,Expense,Debit Card,"Warner, Carr and Archer",aaf91531-0200-41f0-8768-a84fa76afde6
a9d3d7c7-ee87-405e-8ca4-15ea8dfa6a56,2024-11-13,2,11,Groceries,133.6,Expense,Credit Card,Mcmillan and Sons,1b66b5a9-e3c4-4657-9d8c-bbac43b409ef
48212ddb-45b8-4cd9-a7cb-6f2a8da01097,2024-10-15,1,10,Groceries,32.75,Expense,Cash,"Clark, Cooper and Watts",7d106c60-8162-4cf1-8394-72e6da587e8a
0d01280f-d89a-40c0-a87d-1c78e7c421c7,2024-04-07,6,4,Shopping,218.17,Expense,Bank Transfer,Walters LLC,c56811cd-5563-4616-80e8-5ece0b49452d
295d6fbf-430f-401d-bad4-09e2a319dcb4,2024-02-20,1,2,Entertainment,785.7,Income,Debit Card,"Ramos, Thornton and Hoffman",e21342b0-f1ee-4ba3-9343-2e611ca3c448
093923de-8bab-4e3b-a628-6bfbe767dcea,2024-09-25,2,9,Rent,1146.58,Income,Bank Transfer,Aguilar-Hernandez,5d59cd2a-4eea-44e7-8ab5-4bde20a04502
e61fecc0-0a36-4ce7-9c57-0131f8e1daa7,2024-11-05,1,11,Shopping,864.52,Expense,Credit Card,Clark-Wright,8f5486b7-c7b5-42bc-9a8a-aeca1a50aec3
2790cebd-bfdd-43d9-9ee3-ac2af94d6204,2024-06-06,3,6,Groceries,81.07,Expense,Debit Card,Hancock and Sons,2dea9493-0658-463a-a98c-206fe1a47e10
ee49f329-c84a-4b28-950a-1b46ecab3301,2024-10-13,6,10,Entertainment,194.26,Income,Debit Card,Pham-Shields,28c13091-444d-410b-bf87-e362cf8d446a
df465290-61ee-411a-9bac-27a7b386f7a4,2024-11-01,4,11,Health,187.57,Income,Debit Card,Garrison and Sons,75d66ed4-eb1f-49f2-910b-d1d033173470
df0f06cb-cb9b-4326-920e-ac174e20fd1a,2024-05-15,2,5,Rent,1792.02,Expense,Credit Card,Walker Ltd,475287aa-5408-49ac-a601-ddd03170f437
59e4b671-4774-4c58-85f8-bc16f7860b50,2024-01-27,5,1,Groceries,186.75,Expense,Debit Card,"Hicks, Frazier and Anthony",1d870966-0710-4430-b071-d87954c63cd8
fbc9f87a-f668-4617-94a1-875d2db69edb,2024-04-11,3,4,Health,488.21,Expense,Bank Transfer,Johnson-Carlson,504d281f-c953-4b63-ba81-edd9587ef344
1d9af659-82ec-4f2d-bbf6-e16f9b3080d5,2024-06-18,1,6,Groceries,20.39,Income,Cash,Lam-Lee,006ed6e3-6fa1-4735-b572-f3d00b5cea6a
afd5dea5-89d7-4d6c-8e77-7f00ecf27e76,2024-07-20,5,7,Shopping,288.82,Income,Debit Card,"Bentley, Mclaughlin and Gonzalez",aa0b7b14-f2e9-402d-91e9-cdaa6e6981a3
d9178793-a9d3-42e6-905c-c6869f871ce7,2024-05-08,2,5,Entertainment,300.22,Expense,Credit Card,Cortez LLC,688c7015-aab9-4e49-8f2d-479681d2c7de
8dedf9fb-4bb0-4f20-b27c-40266703b636,2024-05-06,0,5,Transport,61.88,Income,Debit Card,Lee Ltd,bf85bf0e-ad64-456c-a10f-aa3ff0bbac67
67f48ad5-4d0b-4d1a-91b0-e1d99d9262af,2024-03-08,4,3,Groceries,34.42,Expense,Credit Card,"Bass, Torres and Clark",a79ac9aa-9b4e-4c24-9479-e1e6c9277d9b
acf5e81e-7131-4269-b118-e36477097749,2024-05-05,6,5,Rent,852.81,Expense,Debit Card,Dixon Ltd,48a639d0-15b5-4908-a8aa-71582b70e525
55cee5db-9e87-404c-a208-6977a9f25336,2024-07-19,4,7,Groceries,95.46,Income,Cash,Cardenas and Sons,ce7ae7f6-3982-4cff-8f77-a665ac3c5640
3eae0032-0bd4-4990-8640-be0f25b8fd4b,2024-03-18,0,3,Entertainment,671.38,Income,Debit Card,Carr-Mack,a1384ddc-e2d9-4e5d-aa18-ce4c74962764
624c69b6-b244-45a7-b7e5-848131c681ec,2024-08-11,6,8,Dining,398.81,Income,Bank Transfer,Ross-Hernandez,c03f3538-e485-4aa1-816b-6287b00805cc
6cd66193-c746-4f59-9b49-4e15e2add909,2024-10-26,5,10,Transport,929.37,Expense,Credit Card,Thompson Ltd,8eb22579-0cdb-4ca4-b6ec-bdd68498e113
74daaebf-1f11-4b76-992c-9227eadf5085,2024-04-06,5,4,Shopping,623.05,Expense,Credit Card,Solis Ltd,986f9025-8f15-4a58-bce6-850487f8424d
714c7df4-e434-4d51-8158-1092f335cba3,2024-05-03,4,5,Entertainment,508.36,Expense,Cash,"Briggs, Mcclain and Simmons",e5af6e39-7227-44e6-8c41-561be827a1b9
7337c599-7984-4388-9c8a-ee30be6033f7,2024-03-02,5,3,Rent,1054.29,Expense,Bank Transfer,Walton-Larsen,8573e793-c715-42b9-840c-5d9146fde062
709b7d97-464c-44af-bd3f-3799a07295e9,2024-07-07,6,7,Dining,613.62,Expense,Cash,Reeves and Sons,e49d681d-51d8-4c64-95fa-1ab8458f1f19
3b33f3d8-269c-4696-a36c-7b8714a0bccb,2024-07-28,6,7,Rent,701.44,Expense,Credit Card,Benson-Mccarthy,54b4a482-6858-4eba-aa34-c85410714d51
34f3193c-0ff0-455c-aa70-2e2f7746d0ba,2024-07-29,0,7,Utilities,322.17,Income,Debit Card,Price-Carrillo,db52ca58-0500-4bc6-b20d-cb6ef2311f17
018267c4-7a1b-4806-a160-a6b49360715f,2024-10-24,3,10,Dining,507.88,Income,Credit Card,Evans-Price,6b44fa8d-d5f2-4073-b414-02b1e4429ebb
ccc42903-8bcf-43a1-bc10-fa52bf5d2fdf,2024-07-28,6,7,Rent,1744.02,Expense,Credit Card,"Hurst, Freeman and Nelson",560c95ee-638c-454c-876e-2bba7c5308bf
b963f37f-6781-4c1f-8c53-0e36addc3e13,2024-09-16,0,9,Transport,772.26,Income,Debit Card,Pittman and Sons,06e745f9-88bc-439c-9f4c-3b79fb10987f
06f028ff-a9ba-4a27-907b-fe36978648f8,2024-06-02,6,6,Shopping,553.92,Income,Credit Card,Day and Sons,0cdf742b-2e85-4b21-b631-de9ddde9f863
74672cd9-362f-4e5c-93cd-6268610cf373,2024-04-11,3,4,Rent,1824.66,Expense,Credit Card,Rogers-Hobbs,d4f8fd72-f382-4cfd-8083-b73a473bd358
78660765-14f7-4e8d-95bc-b8d04094dded,2024-06-12,2,6,Transport,584.6,Expense,Bank Transfer,Curry Inc,39669fa7-5997-4043-b3b1-025bfff9f585
a6d964a3-f510-4b53-87fe-e39f1190f938,2024-09-09,0,9,Utilities,214.09,Expense,Cash,Webster and Sons,9f0fda8d-0537-4ff6-96d7-b3b833094d35
ab61a7b1-793b-4c32-a050-04943d114802,2024-02-29,3,2,Entertainment,683.66,Expense,Cash,Elliott and Sons,c4536f1d-4199-4fdf-b310-22f0770c7798
f6b751f7-9b74-4245-9b1b-c8952af43ab7,2024-05-23,3,5,Health,973.97,Expense,Debit Card,"Higgins, Strickland and Martin",0692dc63-9424-4ed5-9bac-5c154fa03f26
f54ad0a2-e874-46d7-ad66-a1bd93676a02,2024-05-01,2,5,Utilities,414.85,Income,Credit Card,Sanders-Espinoza,d4a057a7-b0cc-4b3b-9793-b9b413748146
c5c14eb4-b27b-4d90-9a16-342c3e2b6091,2024-08-31,5,8,Utilities,199.48,Income,Debit Card,Jefferson-Burke,90e0f4a0-fbdd-4933-8bd5-8bf61efd76e9
6daa2e68-8861-4e18-98e2-58880a8381be,2024-10-30,2,10,Dining,163.4,Expense,Bank Transfer,"Wood, Hunter and Peterson",7d7ddbed-d284-476c-ab88-f83dd97dc9cd
a2b5b498-5cb8-4aed-b5f6-2c976efb63b1,2024-02-10,5,2,Groceries,60.04,Income,Cash,Zimmerman-Graham,a6846099-f729-4951-8591-31d2bbda0242
